Document/Patent number,Title,Inventor name,Publication date
US-20170076381-A1,SYSTEM FOR ASSESSMENT OF ALLOCATED ASSETS,Dintenfass; Katherine et al.,2017-03-16
US-20170076377-A1,SYSTEMS AND METHODS FOR ROUTING ELECTRONIC TRANSACTION PROCESSING RESULTS,Myers; Philip,2017-03-16
US-20170076378-A1,SYSTEM FOR RESTRUCTURING BASED ON PREDICTIVE ANALYSIS,Dintenfass; Katherine et al.,2017-03-16
US-20170078095-A1,SECURE OFFLINE AUTHENTICATION,Iyer; Shankar Ramasubramanian et al.,2017-03-16
US-20170076364-A1,SYSTEM FOR SIMULATION AND IMPLEMENTATION OF DYNAMIC STATE-DEPENDENT RESOURCE RECONFIGURATION,Dintenfass; Katherine et al.,2017-03-16
US-20170076384-A1,SYSTEM FOR DETERMINATION AND TRACKING OF ASSET LINEAGE,Dintenfass; Katherine et al.,2017-03-16
US-20170076383-A1,SYSTEM FOR RESTRUCTURING BASED ON INTENT ANALYSIS,Dintenfass; Katherine et al.,2017-03-16
US-20170076379-A1,SYSTEM FOR ANALYZING PRE-EVENT AND POST-EVENT INDIVIDUAL ACCOUNTS AND TRANSFORMING THE ACCOUNTS,Wadley; Cameron Darnell et al.,2017-03-16
US-20170076371-A1,COMPUTING ARCHITECTURE FOR MANAGED-ACCOUNT TRANSACTIONS,Simonds; Todd,2017-03-16
US-20170076382-A1,SYSTEM FOR DYNAMIC GENERATION OF ALLOCATION GUIDE FOR ASSETS,Dintenfass; Katherine et al.,2017-03-16
US-20170076386-A1,COMPUTING ARCHITECTURE FOR MANAGED-ACCOUNT TRANSACTIONS,Simonds; Todd,2017-03-16
US-20170076388-A1,COMPUTING ARCHITECTURE FOR MANAGED-ACCOUNT TRANSACTIONS,Simonds; Todd,2017-03-16
US-20170076390-A1,COMPUTING ARCHITECTURE FOR MANAGED-ACCOUNT TRANSACTIONS,Simonds; Todd,2017-03-16
US-20170076387-A1,COMPUTING ARCHITECTURE FOR MANAGED-ACCOUNT TRANSACTIONS,Simonds; Todd,2017-03-16
US-20170076412-A1,SYSTEM FOR DETERMINATION AND TRANSFER OF ASSETS,Dintenfass; Katherine et al.,2017-03-16
US-20170078299-A1,CONTROLLING ACCESS TO DATA,Castinado; Joseph B. et al.,2017-03-16
US-20170076247-A1,WORK MANAGEMENT WITH CLAIMS CACHING AND DYNAMIC WORK ALLOCATION,Mayes; Kevin et al.,2017-03-16
US-20170076283-A1,SYSTEM FOR MODELING AND IMPLEMENTING EVENT-RESPONSIVE RESOURCE ALLOCATION STRUCTURES,Dintenfass; Katherine et al.,2017-03-16
US-20170076286-A1,CONTROLLING ACCESS TO DATA,Castinado; Joseph B. et al.,2017-03-16
US-20170076280-A1,Controlling Access to Data,Castinado; Joseph B. et al.,2017-03-16
US-20170076242-A1,WORK MANAGEMENT WITH CLAIMS/PRIORITY ASSIGNMENT AND DYNAMIC WORK ALLOCATION,Mayes; Kevin et al.,2017-03-16
US-20170076271-A1,SYSTEM FOR OPENING AND CONSOLIDATING ACCOUNTS BASED ON AN EVENT ASSOCIATED WITH THE ACCOUNT HOLDER,Jones-McFadden; Alicia C. et al.,2017-03-16
US-9595035-B2,Service for exceeding account thresholds via transaction machine,Kingston; Tamara S. et al.,2017-03-14
US-9595036-B2,Service for exceeding account thresholds via mobile device,Kingston; Tamara S. et al.,2017-03-14
US-9595025-B2,Sorting mobile banking functions into authentication buckets,Grigg; David M. et al.,2017-03-14
US-9595032-B2,Remote revocation of application access based on non-co-location of a transaction vehicle and a mobile device,Votaw; Elizabeth S. et al.,2017-03-14
US-20170068952-A1,SYSTEM FOR ELECTRONIC COLLECTION AND DISPLAY OF ACCOUNT TOKEN USAGE AND ASSOCIATION,Brockmann; Tammy L. et al.,2017-03-09
US-20170068956-A1,SYSTEM FOR GENERATING A TRANSACTION SPECIFIC TOKENIZATION FOR A WEARABLE DEVICE,Jones; Ralph Brian,2017-03-09
US-20170068936-A1,REAL-TIME DATA PROCESSING,Kendall; Charles R. et al.,2017-03-09
US-20170068943-A1,Systems and Methods for Tracking and Adjustment of Electronic Transaction Processing Results,Narayana; Usha et al.,2017-03-09
US-20170069028-A1,Systems and Methods for Display Notifications for Routing of Electronic Transaction Processing Results,Narayana; Usha et al.,2017-03-09
US-20170069022-A1,COMMUNICATING PROPERTY DATA,Castinado; Joseph B. et al.,2017-03-09
US-20170069019-A1,REAL-TIME DATA PROCESSING,Kendall; Charles R. et al.,2017-03-09
US-20170069042-A1,COMMUNICATING PROPERTY DATA,Castinado; Joseph B. et al.,2017-03-09
US-20170069026-A1,Systems and Methods for Storage and Selective Routing of Electronic Transaction Processing Results,Narayana; Usha et al.,2017-03-09
US-20170069027-A1,Systems and Methods for Additional Notification and Inputs of Electronic Transaction Processing Results,Narayana; Usha et al.,2017-03-09
US-20170070465-A1,SYSTEM FOR ELECTRONIC MAIL SERVER CONFIGURATION MANAGEMENT,Gruver; David John Wesley,2017-03-09
US-20170068938-A1,Systems and Methods for Location Identification and Notification of Electronic Transaction Processing Results,NARAYANA; USHA et al.,2017-03-09
US-9589252-B2,Rule-based archival maintenance,Copes; Deborah A. et al.,2017-03-07
US-9589147-B2,Steganography detection,"Hanner, Sr.; Richard D. et al.",2017-03-07
US-9589261-B2,Remote revocation of application access based on non-co-location of a transaction vehicle and a mobile device,Votaw; Elizabeth S. et al.,2017-03-07
US-9588342-B2,Customer recognition through use of an optical head-mounted display in a wearable computing device,Grigg; David M. et al.,2017-03-07
US-9588662-B2,Data research and risk management assessment application,Sood; Vikram et al.,2017-03-07
US-9588745-B1,Customizable service delivery system with scalable workflow,Cismas; Marina et al.,2017-03-07
US-20170061140-A1,SECURE DOCUMENT REPOSITORY,Kurian; Manu Jacob,2017-03-02
US-20170060560-A1,SOFTWARE AND ASSOCIATED HARDWARE REGRESSION AND COMPATIBLITY TESTING SYSTEM,Kumar; Amit et al.,2017-03-02
US-20170060728-A1,Program Lifecycle Testing,Younger; Steve C. et al.,2017-03-02
US-20170061423-A1,USE OF WEARABLE AS AN ACCOUNT CONTROL SYSTEM,Bryant; Matthew K. et al.,2017-03-02
US-20170061537-A1,Deploying and Implementing Centralized Trading and Tracking Computing Platforms to Support Tri-Party Trading,Redmond; Valerie J.,2017-03-02
US-20170061400-A1,DATABASE RETRIEVAL SYSTEM,Felse; Mark D. et al.,2017-03-02
US-20170061414-A1,SYSTEM FOR AUTHENTICATING A MOBILE DEVICE FOR COMPREHENSIVE ACCESS TO A FACILITY,Castinado; Joseph et al.,2017-03-02
US-20170061542-A1,Deploying and Implementing Centralized Trading and Tracking Computing Platforms to Support Tri-Party Trading,Redmond; Valerie J.,2017-03-02
US-20170061405-A1,SYSTEM FOR AUTHENTICATING A WEARABLE DEVICE FOR TRANSACTION QUEUING,Bryant; Matthew K.,2017-03-02
US-20170061424-A1,AUTHENTICATION SYSTEM USING WEARABLE PRESENCE TO MAINTAIN ACCOUNT AUTHENTICATION,Dent; Nathan et al.,2017-03-02
US-20170061399-A1,OPTICAL CHARACTER RECOGNITION PRE-VERIFICATION SYSTEM,Felse; Mark D. et al.,2017-03-02
US-20170061422-A1,SYSTEM FOR AUTHENTICATING THE USE OF A WEARABLE DEVICE TO EXECUTE A TRANSACTION,Castinado; Joseph B. et al.,2017-03-02
US-20170061536-A1,Deploying and Implementing Centralized Trading and Tracking Computing Platforms to Support Tri-Party Trading,Redmond; Valerie J.,2017-03-02
US-20170063866-A1,Configuring Access to Online Accounts for Third Parties Not Associated with the Online Account,Votaw; Elizabeth S. et al.,2017-03-02
US-20170063865-A1,Determining Access Requirements for Online Accounts Based on Characteristics of User Devices,Belchee; William B. et al.,2017-03-02
US-20170063925-A1,User-Configured Restrictions for Accessing Online Accounts Via Different Access Methods,Votaw; Elizabeth S. et al.,2017-03-02
US-20170063820-A1,Performing Online Account Security Actions in Response to Sign-On and Sign-Off Events,Belchee; William B. et al.,2017-03-02
US-20170061440-A1,Periodic Fraud Checks,Belchee; William B.,2017-03-02
US-9582971-B2,System and method for smart deposit retrieval,Johnson; Tyler R.,2017-02-28
US-9584525-B2,Entitlement predictions,Baikalov; Igor A. et al.,2017-02-28
US-9584527-B2,User authentication based on FOB/indicia scan,Grigg; David M. et al.,2017-02-28
US-9582829-B2,Dynamically modifying an application questionnaire,Starikova; Anna Vladimirovna et al.,2017-02-28
US-9584549-B2,Image monitoring framework,Das; Tusnin et al.,2017-02-28
US-9584982-B2,Customer expectation tokens,Mark; Timothy et al.,2017-02-28
US-20170053284-A1,"DUAL BIOMETRIC AUTOMATIC TELLER MACHINE (""ATM"") SESSION INITIALIZATION HAVING SINGLE IN-LINE SESSION MAINTENANCE",Votaw; Elizabeth et al.,2017-02-23
US-20170053252-A1,"SINGLE IN-LINE BIOMETRIC AUTOMATIC TELLER MACHINE (""ATM"") SESSION MAINTENANCE USING BIOMETRIC CHARACTERISTIC",Votaw; Elizabeth et al.,2017-02-23
US-9576282-B2,Merchant category code (“MCC”) based acceptance cost recovery,Murphy; Matthew D. et al.,2017-02-21
US-9575746-B2,Computer application maturity illustration system,Goutam; Gandhi,2017-02-21
US-9578036-B2,Access revocation,McWhirter; Stephen J.,2017-02-21
US-9577884-B2,Enterprise quality assurance and lab management tool,Kumar; Vivek et al.,2017-02-21
US-20170046175-A1,ENHANCED CONFIGURATION AND PROPERTY MANAGEMENT SYSTEM,Murray; David George et al.,2017-02-16
US-20170046247-A1,PRODUCTION RESILIENCY TESTING SYSTEM,Nutter; Darla Jean et al.,2017-02-16
US-20170046782-A1,Integrating Multiple Trading Platforms with a Central Trade Processing System,Bridy; William A. et al.,2017-02-16
US-9569780-B2,Tokenization of user accounts for direct payment authorization channel,Bondesen; Laura Corinne et al.,2017-02-14
US-9571483-B2,Multi user device management system,Lee; Jisoo et al.,2017-02-14
US-20170039055-A1,SOFTWARE APPLICATION PACKAGING AND DEPLOYMENT SYSTEM,Uppal; Jagadish Kumar et al.,2017-02-09
US-20170039201-A1,TRANSFERRING ARCHIVED DATA,Zott; Jerome M.,2017-02-09
US-20170041322-A1,Encapsulating Commands Within a Control Wrapper For Multiple Level Review,Kurian; Manu et al.,2017-02-09
US-20170041317-A1,Encapsulating Commands Within a Control Wrapper For Split Entry or Approval,Kurian; Manu et al.,2017-02-09
US-9565195-B2,User authentication based on FOB/indicia scan,Grigg; David M. et al.,2017-02-07
US-9563895-B2,Tokenization of user accounts for direct payment authorization channel,Bondesen; Laura Corinne et al.,2017-02-07
US-9563873-B1,Resource tag generation and deployment for resource valuation and distribution,Kurian; Manu Jacob et al.,2017-02-07
US-20170034208-A1,DEVICE BLOCKING TOOL,Isola; Rahul et al.,2017-02-02
US-20170032000-A1,DATABASE MANAGER,Sharma; Anant Bondalapati et al.,2017-02-02
US-20170032341-A1,Traceable Deposit Container,Johnsrud; Darrell,2017-02-02
US-20170032372-A1,Unattended Deposit System,Johnsrud; Darrell,2017-02-02
US-20170032009-A1,Event Notification Tool,Thakkar; Ankit Dipakkumar et al.,2017-02-02
US-20170034248-A1,File Movement Service Utility,Bals; Peter,2017-02-02
US-20170034161-A1,DEVICE BLOCKING TOOL,Isola; Rahul et al.,2017-02-02
US-20170034162-A1,DEVICE BLOCKING TOOL,ISOLA; RAHUL et al.,2017-02-02
US-9558334-B2,Access requests at IAM system implementing IAM data model,Kling; John et al.,2017-01-31
US-9558031-B2,Updating and redistributing process templates with configurable activity parameters,Cismas; Sorin N. et al.,2017-01-31
US-20170024271-A1,IMPACT NOTIFICATION SYSTEM,Teli; Vinayak et al.,2017-01-26
US-20170024288-A1,CENTRALIZED DATABASE SYSTEM,Ahmed; Syed Taqueer et al.,2017-01-26
US-20170024781-A1,PROVIDING REMOTE VIDEO ASSISTANT-SPECIFIC AVAILABILITY DETAILS FOR PREVIOUSLY CONTACTED REMOTE VIDEO ASSISTANTS,Lee; Jisoo et al.,2017-01-26
US-20170026399-A1,Delaying Phishing Communication,Gatti; Benjamin L.,2017-01-26
US-20170026388-A1,Phishing Training Tool,Gatti; Benjamin L.,2017-01-26
US-20170026410-A1,Phishing Campaign Ranker,Gatti; Benjamin L.,2017-01-26
US-20170024679-A1,PERSONALIZED USER SELECTION OF REMOTE VIDEO ASSISTANTS BASED ON REMOTE VIDEO CALL HISTORY,Lee; Jisoo et al.,2017-01-26
US-20170026389-A1,PHISHING WARNING TOOL,Gatti; Benjamin L.,2017-01-26
US-20170026322-A1,ASYNCHRONOUS EVENT-DRIVEN MESSAGING FRAMEWORK FOR A REMOTE VIDEO ASSISTANCE SYSTEM,Lee; Jisoo et al.,2017-01-26
US-20170026361-A1,Federated Single Sign-On to Hadoop Cluster,Jayakumar; Hemanth Grama et al.,2017-01-26
US-20170026409-A1,PHISHING CAMPAIGN RANKER,Gatti; Benjamin L.,2017-01-26
US-20170026411-A1,PHISHING SOURCE TOOL,Gatti; Benjamin L.,2017-01-26
US-20170026613-A1,PERSONALIZED PRESENTATION OF PERFORMANCE RATINGS OF REMOTE VIDEO ASSISTANT DURING REMOTE VIDEO ASSISTANT SELECTION,Lee; Jisoo et al.,2017-01-26
US-9552479-B2,Malware detection and computer monitoring methods,Yu; Sounil,2017-01-24
US-9553852-B2,Secure connection between a data repository and an intelligence application,Ortiz-Munoz; Melissa et al.,2017-01-24
US-9552586-B2,System for encoding customer data,Dravneek; Victoria L.,2017-01-24
US-9553891-B1,Device blocking tool,Isola; Rahul et al.,2017-01-24
US-9554274-B1,System for authentication levels associated with a wearable device,Castinado; Joseph B. et al.,2017-01-24
US-20170017706-A1,SYSTEMS AND METHODS FOR UTILIZING COMPLIANCE DRIVERS TO CONSERVE SYSTEM RESOURCES AND REDUCE COMPLIANCE VIOLATIONS,Rao; Ashok et al.,2017-01-19
US-20170017523-A1,ALLOCATING FIELD-PROGRAMMABLE GATE ARRAY (FPGA) RESOURCES,Guccione; Steven A.,2017-01-19
US-20170017468-A1,Strategy Maintenance System,Fleischer; Michael D. et al.,2017-01-19
US-20170017796-A1,SECURE TRAVELER FRAMEWORK,Anderson; Hannah et al.,2017-01-19
US-20170017539-A1,ALLOCATING FIELD-PROGRAMMABLE GATE ARRAY (FPGA) RESOURCES,Guccione; Steven A.,2017-01-19
US-20170019468-A1,Common Function Modules for Use with Multiple Applications,"Charlton, III; Roy E. et al.",2017-01-19
US-9547660-B2,Source-to-processing file conversion in an electronic discovery enterprise system,Mayer; Michael J. et al.,2017-01-17
US-9549156-B2,Dynamic allocation of video resources,Freedman; James David et al.,2017-01-17
US-9547858-B2,Real-time multi master transaction,Karkhanis; Kiran Arun et al.,2017-01-17
US-9547834-B2,Transaction performance monitoring,Nayyar; Ashish K. et al.,2017-01-17
US-9547848-B2,Transaction storing and forwarding,Folk; Amy Baker et al.,2017-01-17
US-9548905-B2,Scheduled workload assessor,Gordon; Candace et al.,2017-01-17
US-9547849-B2,Method and apparatus for providing real time mutable credit card information and for providing sleep mode functionality,Ronca; James G. et al.,2017-01-17
US-9548997-B2,Service channel authentication processing hub,Keys; Andrew T. et al.,2017-01-17
US-9547863-B2,System and method for investigating fraudulent activity,Choudhuri; Somnath et al.,2017-01-17
US-9549067-B2,Disaster relief event call flagging,Hallam; David Luke et al.,2017-01-17
US-20170011228-A1,INTER-SYSTEM DATA FORENSICS,Greenway; Ryan M. et al.,2017-01-12
US-20170011100-A1,INTER-SYSTEM DATA FORENSICS,Greenway; Ryan M. et al.,2017-01-12
US-20170012814-A1,System Resiliency Tracing,Zaidi; Farrukh et al.,2017-01-12
US-20170011349-A1,SYSTEM FOR AFFECTING APPOINTMENT CALENDARING BASED ON APPLICATION NAVIGATION CONTEXT,Jones-McFadden; Alicia C. et al.,2017-01-12
US-20170011229-A1,SYSTEM FOR AGGREGATION AND USER SELF-DIRECTION OF USER DATA SHARE TO OTHER SYSTEMS,Jones-McFadden; Alicia C. et al.,2017-01-12
US-20170011350-A1,SYSTEM FOR FACILITATING APPOINTMENT CALENDARING BASED ON PERCEIVED CUSTOMER REQUIREMENTS,Jones-McFadden; Alicia C. et al.,2017-01-12
US-20170011390-A1,SYSTEM FOR FACILITATING DIGITAL WALLET TRANSFERS,Hsieh; Matthew et al.,2017-01-12
US-20170011351-A1,SYSTEM FOR AFFECTING APPOINTMENT CALENDARING ON A MOBILE DEVICE WITH PRE- AND POST- APPOINTMENT ENRICHMENT,Jones-McFadden; Alicia C. et al.,2017-01-12
US-20170011352-A1,SYSTEM FOR AFFECTING APPOINTMENT CALENDARING ON A MOBILE DEVICE BASED ON DEPENDENCIES,Jones-McFadden; Alicia C. et al.,2017-01-12
US-20170012843-A1,Troubleshooting Transactions in a Network Environment,"Zaidi, III; Farrukh et al.",2017-01-12
US-20170012998-A1,AUTOMATION OF COLLECTION OF FORENSIC EVIDENCE,Thornbury; Thomas et al.,2017-01-12
US-20170012840-A1,Transaction Tracing in a Network Environment,Zaidi; Farrukh et al.,2017-01-12
US-20170012837-A1,Transaction Identification in a Network Environment,Zaidi; Farrukh et al.,2017-01-12
US-20170012839-A1,System Architecture Mapping,Zaidi; Farrukh et al.,2017-01-12
US-9542410-B2,Source-to-processing file conversion in an electronic discovery enterprise system,Mayer; Michael J. et al.,2017-01-10
US-9542433-B2,Quality assurance checks of access rights in a computing system,Moloian; Armen et al.,2017-01-10
US-20170003856-A1,AUTOMATED DEVICE ASSISTANCE,Mande; Christian et al.,2017-01-05
US-20170003857-A1,AUTOMATED DEVICE ASSISTANCE,Mande; Christian et al.,2017-01-05
US-20170004509-A1,AUTOMATED DEVICE ASSISTANCE,Mande; Christian et al.,2017-01-05
US-20170004504-A1,AUTOMATED DEVICE ASSISTANCE,Mande; Christian et al.,2017-01-05
US-20170004565-A1,Providing Consolidated Order Management,Deats; James J. et al.,2017-01-05
US-20170004564-A1,Providing Consolidated Order Management,Deats; James J. et al.,2017-01-05
US-20170004545-A1,Providing Consolidated Order Management,Deats; James J. et al.,2017-01-05
US-20170004152-A1,SYSTEM AND METHOD FOR DYNAMIC DATA ARCHIVAL AND PURGING,Kommisetty; Venkata Ramana Rao et al.,2017-01-05
US-20170004167-A1,SYSTEM FOR AUTOMATING DATA VALIDATION,Bauer; Robert J. et al.,2017-01-05
US-20170004446-A1,Providing Consolidated Order Management,Deats; James J. et al.,2017-01-05
US-20170004574-A1,Providing Consolidated Order Management,Deats; James J. et al.,2017-01-05
US-20170006114-A1,AUTOMATED DEVICE ASSISTANCE,Mande; Christian et al.,2017-01-05
US-20170006013-A1,AUTOMATED DEVICE ASSISTANCE,Mande; Christian et al.,2017-01-05
US-20170006433-A1,CUSTOMER EXPECTATION TOKENS,Mark; Timothy et al.,2017-01-05
US-9536070-B2,Access requests at IAM system implementing IAM data model,Kling; John et al.,2017-01-03
US-9537892-B2,Facilitating separation-of-duties when provisioning access rights in a computing system,Moloian; Armen et al.,2017-01-03
US-20160381047-A1,Identifying and Assessing Malicious Resources,D'Aveta; Robert et al.,2016-12-29
US-20160378752-A1,Comparing Data Stores Using Hash Sums on Disparate Parallel Systems,Anderson; Dirk et al.,2016-12-29
US-20160379180-A1,MONITORING MODULE USAGE IN A DATA PROCESSING SYSTEM,Smith; Michael Gerald et al.,2016-12-29
US-20160379199-A1,ENSURING BATCH INTEGRITY IN A PAYMENT INSTRUMENT EXCEPTIONS PROCESSING SYSTEM,Smith; Michael Gerald et al.,2016-12-29
US-20160379186-A1,ELEMENT LEVEL CONFIDENCE SCORING OF ELEMENTS OF A PAYMENT INSTRUMENT FOR EXCEPTIONS PROCESSING,Smith; Michael Gerald et al.,2016-12-29
US-20160379190-A1,ELEMENT LEVEL PRESENTATION OF ELEMENTS OF A PAYMENT INSTRUMENT FOR EXCEPTIONS PROCESSING,Smith; Michael Gerald et al.,2016-12-29
US-20160379185-A1,PREDICTIVE DETERMINATION AND RESOLUTION OF A VALUE OF INDICIA LOCATED IN A NEGOTIABLE INSTRUMENT ELECTRONIC IMAGE,Smith; Michael Gerald et al.,2016-12-29
US-20160379184-A1,DYNAMIC RESOURCE MANAGEMENT ASSOCIATED WITH PAYMENT INSTRUMENT EXCEPTIONS PROCESSING,Smith; Michael Gerald et al.,2016-12-29
US-20160379281-A1,COMPLIANCE VIOLATION EARLY WARNING SYSTEM,Laxmanan; Kasilingam Basker et al.,2016-12-29
US-20160381117-A1,Managing Open Shares in an Enterprise Computing Environment,Kansagra; Chirag et al.,2016-12-29
US-9530145-B2,Providing social impact information associated with identified products or businesses,Calman; Matthew A. et al.,2016-12-27
US-9529989-B2,Access requests at IAM system implementing IAM data model,Kling; John et al.,2016-12-27
US-9529629-B2,Computing resource inventory system,Moloian; Armen et al.,2016-12-27
US-9531683-B2,Secure connection between a data repository and an intelligence application,Ortiz-Munoz; Melissa et al.,2016-12-27
US-9530124-B2,Sorting mobile banking functions into authentication buckets,Grigg; David M. et al.,2016-12-27
US-9531542-B2,Secure remote password,Barbir; Abdulkader et al.,2016-12-27
US-9531692-B2,Method of securing mobile applications using distributed keys,Barbir; Abdulkader et al.,2016-12-27
US-9529860-B2,Keyword frequency analysis system,Kern; Daniel C. et al.,2016-12-27
US-20160373466-A1,Message Quarantine,D'Aveta; Robert Nicholas et al.,2016-12-22
US-20160371779-A1,SYSTEM IMPLEMENTING SMART BETA FACTOR DEPOSITION BASED ON ASSETS IN EXISTING PORTFOLIO,Stearns; Steven K.,2016-12-22
US-20160371622-A1,ADAPTIVE ENTERPRISE WORKFLOW MANAGEMENT SYSTEM,Kurian; Manu Jacob et al.,2016-12-22
US-20160371617-A1,TECHNICAL ARCHITECTURE ASSESSMENT SYSTEM,Mullaney; Melissa S. et al.,2016-12-22
US-20160371684-A1,SYSTEM OF ANONYMOUS USER CREATION BASED ON OBLIVIOUS TRANSFER,Abbott; Robert L. et al.,2016-12-22
US-20160373402-A1,Information Management and Notification System,Becker; Farel Jamin,2016-12-22
US-20160373263-A1,Identifying and Maintaining Secure Communications,Zaidi; Farrukh et al.,2016-12-22
US-20160373463-A1,PAYLOAD INTERROGATION PRIOR TO EXTERNAL DATA CHANNEL SUBMISSION,Kurian; Manu Jacob et al.,2016-12-22
US-20160373478-A1,Detecting and Analyzing Operational Risk in a Network Environment,Doubleday; Jeffrey De Wayne et al.,2016-12-22
US-9524524-B2,Method for populating budgets and/or wish lists using real-time video image analysis,Calman; Matthew A. et al.,2016-12-20
US-9524229-B2,Testing coordinator,Kalyanasundram; Senthil N.,2016-12-20
US-9524230-B2,Testing coordinator,Kalyanasundram; Senthil N.,2016-12-20
US-9525728-B2,Prediction and distribution of resource demand,Sethi; Vince et al.,2016-12-20
US-9525685-B2,User authentication based on other applications,Grigg; David M. et al.,2016-12-20
US-9524172-B2,Fast start,Krishnamoorthy; Sundar et al.,2016-12-20
US-9525694-B2,Authenticating customers and managing authenticated sessions,Pender; Mark A.,2016-12-20
US-9524397-B1,Inter-system data forensics,Greenway; Ryan M. et al.,2016-12-20
US-D774526-S,Display screen with graphical user interface for funds transfer,Klein; Charmaine et al.,2016-12-20
US-D774527-S,Display screen with graphical user interface for funds transfer,Klein; Charmaine et al.,2016-12-20
US-D774528-S,Display screen with graphical user interface for funds transfer,Klein; Charmaine et al.,2016-12-20
US-D774529-S,Display screen with graphical user interface for funds transfer,Klein; Charmaine et al.,2016-12-20
US-20160364801-A1,SYSTEM FOR ASSESSING RETIREMENT SCORE IMPACT BASED ON LINKED USERS,Dintenfass; Katherine et al.,2016-12-15
US-9519669-B2,Document indexing and delivery system,Ronca; James G.,2016-12-13
US-9519913-B2,Providing social impact information associated with identified products or businesses,Calman; Matthew A. et al.,2016-12-13
US-9519932-B2,System for populating budgets and/or wish lists using real-time video image analysis,Calman; Matthew A. et al.,2016-12-13
US-9519923-B2,System for collective network of augmented reality users,Calman; Matthew A. et al.,2016-12-13
US-9519924-B2,Method for collective network of augmented reality users,Calman; Matthew A. et al.,2016-12-13
US-9519895-B2,Gift card association with account,Blackhurst; Jason et al.,2016-12-13
US-9519934-B2,Restricted access to online banking,Calman; Matthew A. et al.,2016-12-13
US-9519928-B2,Product evaluation based on electronic receipt data,Calman; Matthew A. et al.,2016-12-13
US-9520033-B2,Transaction machine with multiple transaction access points,Freedman; James David et al.,2016-12-13
US-9521141-B2,Caller validation,Pillay; Sanjay,2016-12-13
US-9519759-B2,Secure access to programming data,Kurian; Manu Jacob et al.,2016-12-13
US-9519790-B2,Evaluating customer security preferences,Pruthi; Kapil et al.,2016-12-13
US-9519783-B2,Evaluating customer security preferences,Pruthi; Kapil et al.,2016-12-13
US-9519793-B2,Secure document repository,Kurian; Manu Jacob,2016-12-13
US-9519474-B2,Modular system including management and deployment of software updates and revisions,Kurian; Manu Jacob et al.,2016-12-13
US-9519893-B2,Processing damaged items using image data lift,Williams; Geoffrey R.,2016-12-13
US-9519887-B2,Self-service data importing,Hennessy; Norman et al.,2016-12-13
US-9519536-B2,Electronic management system for technology support reporting,Arora; Piyush,2016-12-13
US-9521136-B2,Role-based access tool,Wadhwa; Vishal,2016-12-13
US-9521137-B2,Role-based access tool,Wadhwa; Vishal,2016-12-13
US-9521139-B2,System for managing multi-user sign-on in a segmented network,Lee; Jisoo et al.,2016-12-13
US-9519505-B1,Enhanced configuration and property management system,Murray; David George et al.,2016-12-13
US-9521157-B1,Identifying and assessing malicious resources,D'Aveta; Robert et al.,2016-12-13
US-D774071-S,Communication device with graphical user interface,Parker; Jeffrey John et al.,2016-12-13
US-20160358140-A1,Transaction Decisioning by an Automated Device,Pigg; Charles F. et al.,2016-12-08
US-20160358139-A1,Processing Cardless Transactions at Automated Teller Devices,Keys; Andrew T. et al.,2016-12-08
US-20160358141-A1,Transaction Decisioning by an Automated Device,Pigg; Charles F. et al.,2016-12-08
US-20160358170-A1,TRANSACTION AUTHORIZATION USING QUASI-ACCOUNTS,Kurian; Manu,2016-12-08
US-20160358259-A1,AGGREGATING ACCOUNT INFORMATION OBTAINED FROM MULTIPLE INSTITUTIONS,Cucchiara; Salvatore et al.,2016-12-08
US-20160358258-A1,SYSTEM FOR PERFORMING A STRESS TEST ON A RETIREMENT PLAN,Dintenfass; Katherine et al.,2016-12-08
US-9514011-B2,Method and apparatus for redundancy in an ATM using hot swap hardware underlying a virtual machine,Munson; Nicholas J. et al.,2016-12-06
US-9514399-B2,Method and system for manufacturing a card with edge indicators,Tattersall; Kenneth G.,2016-12-06
US-9514456-B2,Single payment card for flexible payment vehicle options for a transaction,England; Tony et al.,2016-12-06
US-9514203-B2,Data discovery and analysis tools,Mohammad; Asim S. et al.,2016-12-06
US-9516041-B2,Cyber security analytics architecture,Baikalov; Igor A. et al.,2016-12-06
US-9516060-B2,Malware analysis methods and systems,Yu; Sounil et al.,2016-12-06
US-9516038-B2,Identification of unauthorized disclosure,Yu; Sounil,2016-12-06
US-9516098-B2,System for generating a response to a client request,Gayal; Nirmala et al.,2016-12-06
US-9514463-B2,Determination of customer presence based on communication of a mobile communication device digital signature,Grigg; David M. et al.,2016-12-06
US-9515838-B2,Bandwidth adaptive communication event scheduling,McCoy; David C. et al.,2016-12-06
US-9515957-B2,Server rating system for authorizing and entitling servers to transfer data,Kurian; Manu Jacob et al.,2016-12-06
US-9514440-B2,"Methods and apparatus for providing data warehousing with respect to, inter alia, interactive hierarchical entitlements",Bonda; Ganesh et al.,2016-12-06
US-20160350864-A1,GOAL GUARANTEE SYSTEM,Dintenfass; Katherine et al.,2016-12-01
US-20160350107-A1,Stored Procedure Development and Deployment,"Bragg, JR.; Raymond B. et al.",2016-12-01
US-20160350747-A1,Providing Access to Account Information Using Authentication Tokens,Pruthi; Kapil et al.,2016-12-01
US-20160350868-A1,INTERACTIVE MAP FOR GROUPED ACTIVITIES WITHIN A FINANCIAL AND SOCIAL MANAGEMENT SYSTEM,Votaw; Elizabeth S. et al.,2016-12-01
